Date,Open,High,Low,Close,Volume,log_returns,Search_Volume,check_ratio,Normalized_Searches,log_searches,temp_date,Normalized_Searches_delayed,norm_search_MA_upper_band,norm_search_MA_lower_band,strategy,coin,qty,balance,coins_value,portfolio_value
2022-10-19,6.152,6.251,6.057,6.096,22616659.1,-0.009306949374007967,2925.795918367347,69.66180758017492,7.272581287698841,-0.141103283709284,2022-10-19,8.374694273950718,9.538798478771408,6.73276341510087,0,Polkadot,234.49957790075982,45972.50671036742,55885.64174817837,101858.1484585458
2022-10-19,0.05972,0.06075,0.05812,0.05862,3756521445.0,-0.018758471461468203,8761.492537313432,876.1492537313432,0.4026187916350452,0.12917539625118113,2022-10-19,0.3850314586543401,0.4653736795437938,0.3143671552817869,0,Dogecoin,462470.5175045091,45459.16443593742,55372.29947374837,100831.46390968579
2022-10-19,19320.9,19349.8,19050.0,19116.7,404370.458,-0.010625112965396904,262781.6643356643,12513.412587412586,5.2679884556099825,-0.19919383331659296,2022-10-19,5.960857367551744,6.981144484872174,4.423131171051364,0,Bitcoin,0.13866932911778573,45430.84815893156,55343.98319674251,100774.83135567408
2022-10-19,1309.93,1312.78,1275.56,1284.45,4389238.836,-0.01964308951267605,50668.34782608695,3897.565217391304,7.697239735078247,-0.07194599693337636,2022-10-19,8.271433121026927,9.517609242581235,7.567714453930316,0,Ethereum,9.25180641520257,45195.112131472204,55108.24716928315,100303.35930075536
2022-10-19,0.3621,0.3621,0.3462,0.3495,670411969.0,-0.03541685509773058,9731.71369294606,294.90041493775936,4.489464250083465,-0.14343849947436432,2022-10-19,4.4604740668568645,4.987398408090095,3.626581764544059,0,Cardano,23738.308882875186,44896.009439547975,54809.144477358925,99705.1539169069
2022-10-20,6.095,6.15,5.809,5.878,33217079.1,-0.03641625038761951,3204.4431486880467,69.66180758017492,8.154271676700343,0.11443063332134748,2022-10-20,8.374694273950718,9.522586988112135,6.7271211724532245,0,Polkadot,234.49957790075982,44844.88853156561,54758.02356937656,99602.91210094217
2022-10-20,1284.45,1310.0,1270.0,1282.2,5294962.986,-0.00175325858715383,50668.34782608695,3897.565217391304,7.697239735078247,0.0,2022-10-20,7.697239735078247,9.351764151988977,7.474326330957552,0,Ethereum,9.25180641520257,44824.0719671314,54737.20700494235,99561.27897207375
2022-10-20,0.05863,0.06035,0.05812,0.05939,2593643903.0,0.013049926745022552,9637.641791044776,876.1492537313433,0.4514082131714311,0.1143818712916619,2022-10-20,0.33593348741653833,0.46539359008756376,0.31426742686158904,0,Dogecoin,462470.5175045091,45180.17426560987,55093.30930342082,100273.4835690307
2022-10-20,50.89,52.08,50.54,51.19,2255669.498,0.005877759868750596,3058.8571428571427,92.69264069264068,1.548897717953575,0.1291465387233032,2022-10-20,1.3612412801987626,1.9852086304749803,0.9507572768318601,0,Litecoin,29.006526468455405,45188.87622355041,55102.01126136136,100290.88748491177
2022-10-20,0.3494,0.3556,0.336,0.3399,851096166.0,-0.027852104971794602,11206.215767634854,294.9004149377593,5.324219687821345,0.17053278941870487,2022-10-20,6.602895357564982,5.509940587299092,3.3453051421082565,0,Cardano,23738.308882875186,44960.98845827481,54874.12349608576,99835.11195436057
2022-10-20,19116.6,19350.0,18882.4,19034.7,537627.048,-0.004298669315941582,262781.6643356643,12513.412587412586,5.427368842526029,0.02980586466089948,2022-10-20,7.132612389110419,7.001133683813808,4.415357289014222,0,Bitcoin,0.13866932911778573,44949.617573287156,54862.752611098105,99812.37018438526
2022-10-20,6.769,6.909,6.596,6.655,28115846.19,-0.01683717045684715,1800.2317073170732,41.86585365853659,4.743666972503052,-0.08985966579285593,2022-10-20,5.189670072435369,7.271215434644943,4.327162013689384,0,Chainlink,0.0,44949.617573287156,54862.752611098105,99812.37018438526
2022-10-21,0.3399,0.3496,0.3293,0.3489,983490717.0,0.026133891490658236,11501.116182572614,294.9004149377593,5.466538914298477,0.026379513193849714,2022-10-21,4.605898885837746,5.525847388927266,3.3572024755549883,0,Cardano,23738.308882875186,45163.26235323303,55076.39739104398,100239.65974427701
2022-10-21,19034.8,19240.0,18600.0,19150.9,581878.905,0.006086082642374924,262781.6643356643,12513.412587412586,5.427368842526029,0.0,2022-10-21,6.7066445269356745,7.030708520497923,4.409695365218411,0,Bitcoin,0.13866932911778573,45179.37572927652,55092.51076708747,100271.886496364
2022-10-21,5.878,5.896,5.717,5.832,42103984.3,-0.007856573290368655,4040.3848396501453,69.66180758017492,10.799342843704846,0.2809433624197794,2022-10-21,8.374694273950718,9.456776183090984,6.7198008613905635,0,Polkadot,234.49957790075982,45168.58874869309,55081.72378650404,100250.31253519712
2022-10-21,0.0594,0.05947,0.05701,0.05931,2322458711.0,-0.0013479361771335584,8761.492537313432,876.1492537313432,0.4026187916350452,-0.11438187129166187,2022-10-21,0.3334650898052113,0.4632450565660064,0.32048056746002246,0,Dogecoin,462470.5175045091,45131.59110729273,55044.726145103676,100176.3172523964
2022-10-21,51.19,51.78,49.5,51.6,2447579.295,0.007977472018025233,3244.2424242424245,92.6926406926407,1.9242105934632021,0.21697227407870945,2022-10-21,1.548897717953575,1.9979637917297268,0.9952496436025282,0,Litecoin,29.006526468455405,45143.483783144795,55056.618820955744,100200.10260410054
2022-10-21,6.655,6.845,6.435,6.806,31657200.47,0.02243612423163899,2302.6219512195125,41.865853658536594,6.778719072027642,0.35697769716773603,2022-10-21,4.743666972503052,6.94236214518861,4.258323160889947,0,Chainlink,0.0,45143.483783144795,55056.618820955744,100200.10260410054
2022-10-21,1282.19,1307.0,1248.0,1299.08,6030198.052,0.013078969056370706,50668.34782608695,3897.565217391304,7.813596104037009,0.015003517910041451,2022-10-21,7.697239735078247,9.294861461965088,7.373666502081114,0,Ethereum,9.25180641520257,45299.654275433415,55212.789313244364,100512.44358867778
2022-10-22,5.832,5.869,5.763,5.841,17213825.0,0.0015420203518154184,3901.0612244897957,69.66180758017492,10.358497649204097,-0.041678072713643724,2022-10-22,7.272581287698841,8.712546133699714,6.9653812563330355,0,Polkadot,234.49957790075982,45301.764771634524,55214.89980944547,100516.66458108
2022-10-22,51.61,52.47,51.32,52.14,1261370.155,0.010410736017838509,3244.2424242424245,92.6926406926407,1.9242105934632021,0.0,2022-10-22,1.9242105934632021,2.0559897225749335,1.0049246319196334,0,Litecoin,29.006526468455405,45317.428295927486,55230.563333738435,100547.99162966592
2022-10-22,6.805,6.927,6.719,6.866,14363590.92,0.008777118956786206,2051.4268292682927,41.86585365853659,5.7611930222653465,-0.16264358149163474,2022-10-22,6.778719072027642,7.037417595624177,4.2442171165005895,0,Chainlink,0.0,45317.428295927486,55230.563333738435,100547.99162966592
2022-10-22,1299.08,1320.0,1293.67,1313.19,2486638.762,0.010802970002622746,46770.78260869565,3897.565217391304,7.006689980170802,-0.10899990243108448,2022-10-22,7.813596104037009,9.06353446883121,7.362382620072653,0,Ethereum,9.25180641520257,45447.971284445994,55361.10632225694,100809.07760670294
2022-10-22,0.05931,0.05992,0.05906,0.05966,1113772999.0,0.005883853235967243,8761.492537313432,876.1492537313432,0.4026187916350452,0.0,2022-10-22,0.38225451134159716,0.4634887581893962,0.32101091628656214,0,Dogecoin,462470.5175045091,45609.83596557257,55522.97100338352,101132.8069689561
2022-10-22,0.3488,0.3542,0.3426,0.3511,536510259.0,0.006285734981658159,9436.813278008298,294.9004149377593,4.347145023606332,-0.22912636333497535,2022-10-22,3.9612249489250546,5.522423087981883,3.3951475638458444,0,Cardano,23738.308882875186,45662.060245114895,55575.195282925844,101237.25552804074
2022-10-22,19151.0,19250.0,19103.5,19195.1,174055.042,0.0023053262178677823,225241.4265734266,12513.41258741259,3.6856256665695577,-0.3870141584923321,2022-10-22,3.9371666216435752,7.0835925993154945,4.275285089425383,0,Bitcoin,0.13866932911778573,45668.1894294619,55581.32446727285,101249.51389673474
